id,Dublin Core:Contributor,Dublin Core:Coverage,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Description,Dublin Core:Identifier,Dublin Core:Is Version Of,Dublin Core:Language,Dublin Core:Source,Dublin Core:Subject,Dublin Core:Title,Dublin Core:Type,added,featured,items_count,modified,owner_id,public
1,"Ministero dell’Università e della Ricerca, progetto PRIN bando 2022 – “MetaLing Corpus: Creating a corpus of English linguistics metalanguage from the 16th to the 18th century”",1450-1800,Angela Andreani|Daniel Russo,,Selected Early Modern English linguistic texts collection,,,English,"A Bibliography of the English Language from the Invention of Printing to the Year 1800: A Systematic Record of Writings on English, and on other Languages in English, based on the Collections of the Principal Libraries of the World--in Twenty Volumes by Robin Carfrae Alstor - 1968",Linguistics and Philology|Early Modern English|Metalanguage,<p>Metaling Corpus</p>,Corpus of Early Modern English Metalanguage,2025-07-21T07:41:20+00:00,False,28,2026-01-04T17:52:06+00:00,130720,True
2,,,Robin Carfrae Alston,1968,,vol-III,"A Bibliography of the English Language from the Invention of Printing to the Year 1800: A Systematic Record of Writings on English, and on other Languages in English, based on the Collections of the Principal Libraries of the World--in Twenty Volumes by Robin Carfrae Alstor - 1968",English|Early Modern English,,Miscellaneous|Grammar|Glossaries,"Subcorpus B - Volume III -  Miscellaneous works dealing with various aspects of English: grammar, non-technical glossaries, theory of grammar",bibliography|collection,2025-07-21T07:49:23+00:00,False,14,2026-01-04T17:52:14+00:00,130720,True
3,,,Robin Carfrae Alston,1968,,vol-VI,"A Bibliography of the English Language from the Invention of Printing to the Year 1800: A Systematic Record of Writings on English, and on other Languages in English, based on the Collections of the Principal Libraries of the World--in Twenty Volumes by Robin Carfrae Alstor - 1968",English|Early Modern English,,English rhetoric|Prosody|Phonetics,"Subcorpus C - Volume VI - Rhetoric, prosody, rhyme, pronunciation, elocution, phonetics",Bibliography|Collection,2025-07-21T07:52:23+00:00,False,5,2026-01-04T17:52:20+00:00,130720,True
4,,,Robin Carfrae Alston,1968,,vol-IX,"A Bibliography of the English Language from the Invention of Printing to the Year 1800: A Systematic Record of Writings on English, and on other Languages in English, based on the Collections of the Principal Libraries of the World--in Twenty Volumes by Robin Carfrae Alstor - 1968",English|Early Modern English,,Dialect|Non-standard English|Cant,"Subcorpus A - Volume IX - Non-standard English, cant, dialect",Bibliography|Collection,2025-07-21T07:54:58+00:00,False,9,2026-01-04T17:52:27+00:00,130720,True
